,group,name,dice,p_value
0,MG360J12,Visual1,0.05671953127396546,0.5134865134865135
1,MG360J12,Visual2,0.16998836758433503,0.8111888111888111
2,MG360J12,Somatomotor,0.1760457576636179,0.8471528471528471
3,MG360J12,CingOperc,0.1991211100149898,0.8561438561438561
4,MG360J12,DorsAttn,0.11006186909801367,0.1068931068931069
5,MG360J12,Language,0.11164897632899587,0.13386613386613386
6,MG360J12,FrontPar,0.2696896776457613,0.005994005994005994
7,MG360J12,Auditory,0.04697477397736612,0.4115884115884116
8,MG360J12,Default,0.3271493572068852,0.008991008991008992
9,MG360J12,PostMulti,0.02144996618248575,0.7822177822177823
10,MG360J12,VentMulti,0.055893536121673006,0.07092907092907093
11,MG360J12,OrbitAffective,0.010689087679848788,0.8741258741258742
12,HCPICA,ICA1,0.0788303542507141,0.8361638361638362
13,HCPICA,ICA2,0.3215720999931885,0.023976023976023976
14,HCPICA,ICA3,0.1698639646494987,0.4785214785214785
15,HCPICA,ICA4,0.18397511198316702,0.7722277722277723
16,HCPICA,ICA5,0.2605452224197061,0.008991008991008992
17,HCPICA,ICA6,0.32068873988759505,0.002997002997002997
18,HCPICA,ICA7,0.11259346548265364,0.8801198801198801
19,HCPICA,ICA8,0.23821501420330118,0.17582417582417584
20,HCPICA,ICA9,0.3687276979214967,0.5544455544455544
21,HCPICA,ICA10,0.24819337781694573,0.05194805194805195
22,HCPICA,ICA11,0.3297492695208288,0.01098901098901099
23,HCPICA,ICA12,0.2887646770158829,0.0979020979020979
24,HCPICA,ICA13,0.20274843075969312,0.6593406593406593
25,HCPICA,ICA14,0.24314788362695186,0.2887112887112887
26,HCPICA,ICA15,0.09000100032867943,0.8871128871128872
27,HCPICA,ICA17,0.29934933862583024,0.12687312687312688
28,HCPICA,ICA18,0.3357748519805735,0.04595404595404595
29,HCPICA,ICA19,0.3368464469071214,0.008991008991008992
30,HCPICA,ICA20,0.23025554933781012,0.4985014985014985
31,HCPICA,ICA23,0.08240481439551928,0.7922077922077922
