,group,name,dice,p_value
0,MG360J12,Visual1,0.0838987816307404,0.08691308691308691
1,MG360J12,Visual2,0.21560354458388017,0.4995004995004995
2,MG360J12,Somatomotor,0.22091395182184004,0.1018981018981019
3,MG360J12,CingOperc,0.23154608096468562,0.17782217782217782
4,MG360J12,DorsAttn,0.10244085982352014,0.5484515484515484
5,MG360J12,Language,0.09927407803054214,0.6313686313686314
6,MG360J12,FrontPar,0.23294403635787136,0.38161838161838163
7,MG360J12,Auditory,0.051296497855176384,0.2907092907092907
8,MG360J12,Default,0.3159152275685231,0.25774225774225773
9,MG360J12,PostMulti,0.03372115697107572,0.0999000999000999
10,MG360J12,VentMulti,0.02753152783301474,0.8471528471528471
11,MG360J12,OrbitAffective,0.010577705451586655,0.9170829170829171
12,HCPICA,ICA1,0.10284609341954197,0.5004995004995005
13,HCPICA,ICA2,0.3217086276758038,0.07792207792207792
14,HCPICA,ICA3,0.18617246528629058,0.36663336663336665
15,HCPICA,ICA4,0.20876763386569008,0.5684315684315684
16,HCPICA,ICA5,0.20160260132388805,0.6533466533466533
17,HCPICA,ICA6,0.2891464159719348,0.4025974025974026
18,HCPICA,ICA7,0.1551968412495645,0.31368631368631367
19,HCPICA,ICA8,0.25254913551056596,0.02197802197802198
20,HCPICA,ICA9,0.4014978120368665,0.21578421578421578
21,HCPICA,ICA10,0.2482998610182798,0.22577422577422576
22,HCPICA,ICA11,0.2974145581477902,0.5684315684315684
23,HCPICA,ICA12,0.28592339595023175,0.2677322677322677
24,HCPICA,ICA13,0.22839365657485394,0.19880119880119881
25,HCPICA,ICA14,0.28580879920608665,0.03596403596403597
26,HCPICA,ICA15,0.15827083628130748,0.028971028971028972
27,HCPICA,ICA17,0.3100496589569687,0.04395604395604396
28,HCPICA,ICA18,0.32167506785575806,0.24075924075924077
29,HCPICA,ICA19,0.3562332878326072,0.04395604395604396
30,HCPICA,ICA20,0.26053631801096155,0.2037962037962038
31,HCPICA,ICA23,0.11115313754438194,0.07392607392607392
